time,precipitation_mm
2019-12-16,3.8901436
2019-12-17,3.7072241
2019-12-18,3.5128448
2019-12-19,7.6970186
2019-12-20,18.852116
2019-12-21,5.213659
2019-12-22,4.060248
2019-12-23,0.39552754
2019-12-24,3.9254534
2019-12-25,0.028309634
2019-12-26,4.5485654
2019-12-27,0.37516326
2019-12-28,0.1599017
2019-12-29,0.16054262
2019-12-30,0.010231599
2019-12-31,0.01773114
2020-01-01,0.29575807
2020-01-02,0.41338181
2020-01-03,3.035355
2020-01-04,0.046227213
2020-01-05,0.16875742
2020-01-06,1.361642
2020-01-07,1.3999575
2020-01-08,1.7483691
2020-01-09,8.404503
2020-01-10,0.49164194
2020-01-11,0.8753917
2020-01-12,2.9604619
2020-01-13,4.370015
2020-01-14,6.9370637
2020-01-15,6.150893
2020-01-16,3.795042
2020-01-17,2.9525583
2020-01-18,0.058363944
2020-01-19,0.00721367
2020-01-20,0.0028238588
2020-01-21,0.021201601
2020-01-22,0.090944715
2020-01-23,0.26088455
2020-01-24,0.29051268
2020-01-25,0.38413268
2020-01-26,4.629569
2020-01-27,4.9154787
2020-01-28,2.397631
2020-01-29,0.521945
2020-01-30,1.1394536
2020-01-31,1.3314859
2020-02-01,0.92439103
2020-02-02,5.4768705
2020-02-03,1.1621717
2020-02-04,0.18611826
2020-02-05,0.0062921927
2020-02-06,0.0034491755
2020-02-07,0.04182738
2020-02-08,0.689905
2020-02-09,10.723109
2020-02-10,1.3674148
2020-02-11,0.58669627
2020-02-12,0.81943774
2020-02-13,10.381711
2020-02-14,0.41458544
2020-02-15,5.8064084
2020-02-16,13.939806
2020-02-17,1.3675318
2020-02-18,2.2769058
2020-02-19,1.4099514
2020-02-20,4.135572
2020-02-21,0.4672646
2020-02-22,1.261694
2020-02-23,4.372062
2020-02-24,8.631279
2020-02-25,1.9964043
2020-02-26,0.73899907
2020-02-27,5.9588757
2020-02-28,6.787914
2020-02-29,7.603327
2020-03-01,1.6273721
2020-03-02,2.4909947
2020-03-03,0.63273567
2020-03-04,2.1208208
2020-03-05,10.51774
2020-03-06,0.12414415
2020-03-07,0.10056722
2020-03-08,2.5173662
2020-03-09,4.3602057
2020-03-10,1.2482752
2020-03-11,1.6956428
2020-03-12,0.8474981
2020-03-13,0.68528795
2020-03-14,2.6195068
2020-03-15,2.7636635
2020-03-16,0.06176478
2020-03-17,0.17725472
2020-03-18,1.420715
2020-03-19,0.7972125
2020-03-20,0.777974
2020-03-21,0.0054580825
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,-4.4703484e-05
2020-03-25,0.0
2020-03-26,-4.4703484e-05
2020-03-27,0.0
2020-03-28,0.19571096
2020-03-29,0.90025294
2020-03-30,1.649353
2020-03-31,0.17798993
2020-04-01,0.070887305
2020-04-02,0.17457987
2020-04-03,0.38395754
2020-04-04,0.03854398
2020-04-05,0.0
2020-04-06,1.368207
2020-04-07,-4.4703484e-05
2020-04-08,0.011520283
2020-04-09,0.00072066626
2020-04-10,0.089604676
2020-04-11,0.09065272
2020-04-12,0.5842064
2020-04-13,0.15210342
2020-04-14,0.004252153
2020-04-15,4.4703484e-05
2020-04-16,0.02177778
2020-04-17,1.9352704
2020-04-18,2.4376218
2020-04-19,0.00016550932
2020-04-20,0.0
2020-04-21,-4.4703484e-05
2020-04-22,4.4703484e-05
2020-04-23,-4.4703484e-05
2020-04-24,0.0003660541
2020-04-25,0.022576855
2020-04-26,0.8093147
2020-04-27,0.98397666
2020-04-28,6.8744297
2020-04-29,3.6162455
2020-04-30,5.358349
2020-05-01,3.2146282
2020-05-02,0.3141736
2020-05-03,1.0684838
2020-05-04,1.8695596
2020-05-05,0.13747607
2020-05-06,0.0
2020-05-07,9.15357e-05
2020-05-08,0.14058907
2020-05-09,0.37047976
2020-05-10,1.5847771
2020-05-11,0.30851823
2020-05-12,0.14454481
2020-05-13,0.17512022
2020-05-14,0.13717264
2020-05-15,0.0010458309
2020-05-16,0.075987495
2020-05-17,0.14640081
2020-05-18,0.33103827
2020-05-19,1.2160244
2020-05-20,0.008419333
2020-05-21,0.02235795
2020-05-22,0.3238511
2020-05-23,0.17105149
2020-05-24,0.16694303
2020-05-25,-4.4703484e-05
2020-05-26,0.011473628
2020-05-27,0.016854366
2020-05-28,0.0012669535
2020-05-29,0.0
2020-05-30,0.0002811707
2020-05-31,4.4703484e-05
2020-06-01,-4.4703484e-05
2020-06-02,0.0
2020-06-03,1.7491128
2020-06-04,2.0404506
2020-06-05,4.8782654
2020-06-06,6.064574
2020-06-07,2.522629
2020-06-08,0.12692775
2020-06-09,0.030681225
2020-06-10,5.671615
2020-06-11,7.0826206
2020-06-12,6.048284
2020-06-13,1.8128532
2020-06-14,0.45055887
2020-06-15,1.0551835
2020-06-16,2.7864156
2020-06-17,2.8253207
2020-06-18,8.52351
2020-06-19,1.0981355
2020-06-20,0.4465768
2020-06-21,1.7494818
2020-06-22,0.00040312964
2020-06-23,0.00072891515
2020-06-24,-4.4703484e-05
2020-06-25,0.0
2020-06-26,1.3004663
2020-06-27,4.997751
